Name,Coupon,ISIN,Issue,Maturity,time-to-maturity,8 January,9 January,10 January,11 January,12 January,15 January,16 January,17 January,18 January,19 January,22 January
CANADACD-BONDS 2018(24),2.25,CA135087J546,10/5/2018,3/1/2024,0.125,100.4190411,100.4352055,100.4513699,100.4685342,100.4836986,100.5191918,100.5183562,100.5275205,100.5586849,100.5768493,100.5993425
CANADACD-BONDS 2019(24),1.5,CA135087J967,4/5/2019,9/1/2024,0.625,98.4860274,98.51013699,98.51924658,98.52035616,98.56346575,98.60879452,98.53290411,98.5380137,98.56612329,98.57823288,98.61756164
CANADACD-BONDS 2019(25),1.25,CA135087K528,10/11/2019,3/1/2025,1.125,96.89835616,96.92378082,96.99720548,97.02463014,97.11305479,97.17732877,97.00575342,96.91717808,96.96760274,96.9360274,96.94930137
CANADACD-BONDS 2020(25),0.5,CA135087K940,4/3/2020,9/1/2025,1.625,94.51534247,94.54671233,94.55808219,94.60945205,94.67082192,94.67493151,94.60630137,94.43767123,94.4290411,94.41041096,94.35852055
CANADACD-BONDS 2020(26),0.25,CA135087L518,10/9/2020,3/1/2026,2.125,92.94967123,92.94835616,92.9330411,92.94572603,93.11341096,93.10046575,92.88915068,92.66383562,92.64052055,92.64020548,92.65226027
CANADACD-BONDS 2021(26),1,CA135087L930,4/16/2021,9/1/2026,2.625,93.81068493,93.79342466,93.90616438,93.88890411,93.96164384,93.93986301,93.77260274,93.49534247,93.45808219,93.45082192,93.3890411
CANADACD-BONDS 2021(27),1.25,CA135087M847,10/15/2021,3/1/2027,3.125,93.72035616,93.74278082,93.69020548,93.63463014,93.91905479,93.95532877,93.60675342,93.32517808,93.22560274,93.2400274,93.31230137
CANADACD-BONDS 2022(27),2.75,CA135087N837,5/13/2022,9/1/2027,3.625,98.54438356,98.56291781,98.58245205,98.5069863,98.73452055,98.78912329,98.46565753,98.12419178,97.99572603,97.99426027,98.00986301
CANADACD-BONDS 2022(28),3.5,CA135087P576,10/21/2022,3/1/2028,4.125,101.7273973,101.7169863,101.6855753,101.5841644,101.9027534,101.9675205,101.5241096,101.1476986,100.9852877,100.9558767,101.0336438
CANADACD-BONDS 2023(28),3.25,CA135087Q491,4/21/2023,9/1/2028,4.625,100.879726,100.8686301,100.8775342,100.7164384,101.0553425,101.1120548,100.6509589,100.209863,100.0387671,100.0076712,100.0943836